"pID","Well","Name","Plate 1",,"treat"
6,"D2","hsa-miR-23b",0.91253899,"c1","c"
6,"C2","hsa-miR-23b*",0.781044687,"c1","c"
6,"H2","hsa-miR-24",0.903344028,"c1","c"
6,"F2","hsa-miR-24",1.165121279,"c1","c"
6,"E2","hsa-miR-24-1*",0.756597225,"c1","c"
6,"G2","hsa-miR-24-2*",0.788344731,"c1","c"
6,"B3","hsa-miR-25",1.007812657,"c1","c"
6,"A3","hsa-miR-25*",1.114207164,"c1","c"
6,"C3","hsa-miR-26a",0.967087547,"c1","c"
6,"E3","hsa-miR-26a",1.015392259,"c1","c"
6,"D3","hsa-miR-26a-1*",0.742059249,"c1","c"
6,"F3","hsa-miR-26a-2*",1.062858233,"c1","c"
6,"G3","hsa-miR-26b",0.842178855,"c1","c"
6,"H3","hsa-miR-26b*",0.822546335,"c1","c"
6,"B4","hsa-miR-27a",0.988956713,"c1","c"
6,"A4","hsa-miR-27a*",1.128683036,"c1","c"
6,"D4","hsa-miR-27b",0.77874595,"c1","c"
6,"C4","hsa-miR-27b*",0.995480174,"c1","c"
6,"F4","hsa-miR-28-3p",1.078110642,"c1","c"
6,"E4","hsa-miR-28-5p",1.036143077,"c1","c"
6,"H4","hsa-miR-296-3p",0.866967986,"c1","c"
6,"G4","hsa-miR-296-5p",0.850876754,"c1","c"
6,"A5","hsa-miR-297",0.912414787,"c1","c"
6,"B5","hsa-miR-298",0.996318906,"c1","c"
6,"D5","hsa-miR-299-3p",0.875976544,"c1","c"
6,"C5","hsa-miR-299-5p",0.785114101,"c1","c"
6,"F5","hsa-miR-29a",1.143376322,"c1","c"
6,"E5","hsa-miR-29a*",1.127067676,"c1","c"
6,"B6","hsa-miR-29b",0.995728683,"c1","c"
6,"H5","hsa-miR-29b",1.1832627,"c1","c"
6,"G5","hsa-miR-29b-1*",1.092462304,"c1","c"
6,"A6","hsa-miR-29b-2*",1.07363746,"c1","c"
6,"D6","hsa-miR-29c",1.075718744,"c1","c"
6,"C6","hsa-miR-29c*",1.064007579,"c1","c"
6,"E6","hsa-miR-300",1.268285162,"c1","c"
6,"F6","hsa-miR-301a",1.2111582,"c1","c"
6,"G6","hsa-miR-301b",1.160989715,"c1","c"
6,"A7","hsa-miR-302a",0.925710212,"c1","c"
6,"H6","hsa-miR-302a*",1.15427985,"c1","c"
6,"C7","hsa-miR-302b",0.845098826,"c1","c"
6,"B7","hsa-miR-302b*",0.850441937,"c1","c"
6,"E7","hsa-miR-302c",1.161673144,"c1","c"
6,"D7","hsa-miR-302c*",0.982464359,"c1","c"
6,"G7","hsa-miR-302d",1.063572665,"c1","c"
6,"F7","hsa-miR-302d*",1.091468268,"c1","c"
6,"H7","hsa-miR-302e",1.198794713,"c1","c"
6,"A8","hsa-miR-302f",1.017411438,"c1","c"
6,"B8","hsa-miR-30a",0.905984531,"c1","c"
6,"C8","hsa-miR-30a*",0.851560176,"c1","c"
6,"D8","hsa-miR-30b",0.833574065,"c1","c"
6,"E8","hsa-miR-30b*",0.967739972,"c1","c"
6,"H8","hsa-miR-30c",1.094760996,"c1","c"
6,"F8","hsa-miR-30c",1.166270625,"c1","c"
6,"G8","hsa-miR-30c-1*",1.108802051,"c1","c"
6,"A9","hsa-miR-30c-2*",0.957395567,"c1","c"
6,"B9","hsa-miR-30d",0.957768382,"c1","c"
6,"C9","hsa-miR-30d*",1.038814584,"c1","c"
6,"D9","hsa-miR-30e",0.960067068,"c1","c"
6,"E9","hsa-miR-30e*",1.00305977,"c1","c"
6,"F9","hsa-miR-31",1.027600443,"c1","c"
6,"G9","hsa-miR-31*",1.158597721,"c1","c"
6,"H9","hsa-miR-32",1.179472851,"c1","c"
6,"A10","hsa-miR-32*",1.057235615,"c1","c"
6,"B10","hsa-miR-320a",1.070748448,"c1","c"
6,"C10","hsa-miR-320b",1.046891307,"c1","c"
6,"D10","hsa-miR-320b",0.999145717,"c1","c"
6,"E10","hsa-miR-320c",0.953636818,"c1","c"
6,"F10","hsa-miR-320c",1.195843596,"c1","c"
6,"G10","hsa-miR-320d",1.156516437,"c1","c"
6,"H10","hsa-miR-320d",1.206964532,"c1","c"
6,"B11","hsa-miR-323-3p",1.149806675,"c1","c"
6,"A11","hsa-miR-323-5p",1.199043222,"c1","c"
