Plate Number,Position,Name,Control Z-score,VCR Z-score
6,H9,hsa-miR-32,1.259308521,0.436032286
6,A10,hsa-miR-32*,1.099618833,1.448718567
6,B10,hsa-miR-320a,0.795985795,-0.037003326
6,C10,hsa-miR-320b,0.596617459,1.026163216
6,D10,hsa-miR-320b,1.269518699,-0.112197618
6,E10,hsa-miR-320c,0.594018588,0.291963257
6,F10,hsa-miR-320c,0.99133851,-0.232594922
6,G10,hsa-miR-320d,0.918160303,0.462852416
6,H10,hsa-miR-320d,1.32958863,0.270224391
6,B11,hsa-miR-323-3p,1.290884023,0.615666807
6,A11,hsa-miR-323-5p,2.030234346,1.695614909
6,D11,hsa-miR-324-3p,0.499909486,0.252444457
6,C11,hsa-miR-324-5p,0.706765901,0.67876974
6,E11,hsa-miR-325,1.50941187,0.208728391
6,F11,hsa-miR-326,1.230200803,0.328799921
6,G11,hsa-miR-328,1.048137782,-0.04215919
6,H11,hsa-miR-329,1.064492034,-0.02107774
7,A2,ath-miR416,0.043323269,0.560370927
7,B2,cel-miR-243,0.000774801,-0.306628408
7,C2,hsa-miR-329,-0.478374175,-0.253074071
7,E2,hsa-miR-330-3p,-0.919943988,-0.694131106
7,D2,hsa-miR-330-5p,-1.156730388,-0.534884243
7,G2,hsa-miR-331-3p,-0.811038026,-1.691425696
7,F2,hsa-miR-331-5p,-0.789375196,-0.322450556
7,H2,hsa-miR-335,-0.478105523,-0.428827051
7,A3,hsa-miR-335*,0.083193366,0.118664228
7,C3,hsa-miR-337-3p,-0.523719631,0.338413833
7,B3,hsa-miR-337-5p,-0.192407548,0.488483159
7,E3,hsa-miR-338-3p,-0.949409886,-0.889221579
7,D3,hsa-miR-338-5p,-0.894337629,-0.201994089
